Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
211684,7165,0,85912,226700,0,19222,9800,18851,0,22153,0,0,0,7164,11958,66012,0,367734,256151,4896,39020,280373,11752,9431,293522,415079,417005,198888,0,80674,121710,0,45320,60052,78826,110600,521475,91597,29,639080,289309,5870,537353,73760,6000,165305,96812,568910,1568710,251170,6027,1984,33142,0,71431,474830,44982
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211684,7165,0,86757,229700,0,19328,9800,18851,0,22464,0,0,0,7189,11958,66796,0,370456,258758,4896,39200,280373,11768,9434,293522,415079,418610,198888,0,81183,122564,0,46031,60328,80580,111141,521475,91850,29,648724,294629,5870,542737,73760,6042,166724,97407,579345,1595600,253415,6226,2008,33562,0,72992,477460,45223
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211684,7165,0,87672,229700,0,19457,9800,18851,0,22673,0,0,0,7208,11958,67633,0,372444,260557,5026,39723,298614,11809,9439,293522,415079,419139,198888,0,81676,120700,0,46633,60769,81603,112023,521475,92029,29,656433,299375,5870,556041,73760,6101,168440,97829,588974,1612188,257824,6321,2008,33798,0,74739,480112,45904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221961,7165,0,88666,235513,0,19560,9800,18851,0,22899,0,0,0,7218,11958,68657,0,373704,262266,5026,39998,298614,11840,9443,324203,415079,420919,198888,0,82190,123234,0,47153,61264,82809,112979,521475,92249,29,663856,303476,5870,568908,73760,6175,170072,98170,596883,1630778,260728,6403,2008,34013,0,76272,482669,46127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221961,7165,0,89665,237729,0,19665,9800,18851,0,23131,0,0,0,7220,11958,69460,0,374379,263844,5138,40100,298614,11876,9444,324203,415079,422289,198888,0,82460,124233,0,48018,61718,84015,113919,521475,92551,29,669448,306874,5870,573504,73760,6229,171539,98576,602938,1649735,263256,6506,2008,34805,0,77900,485157,46502
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
