Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
16624,980,0,24773,9314,77051,10425,9377,2365,0,1227,62688,31521,3,274,1105,4237,30794,19614,8019,7097,12358,15054,1603,12211,20568,29955,10906,10527,16511,2917,3468,8509,2019,29456,5983,60611,19619,2074,19,33143,12592,5761,37665,3373,3121,14746,2522,21037,76502,3887,483,89,15651,10004,5421,11402,1572
5334,224,0,10141,4043,29855,5208,6324,1137,0,817,22912,11458,3,124,309,1534,19293,10147,4138,3165,2901,7873,432,6272,13151,14145,5775,5167,6180,1056,1760,3467,869,19854,2749,39450,7567,1360,2,15046,2761,1604,17804,1630,2074,5811,1585,7785,30479,1392,156,24,5383,3698,1582,5570,489
16624,980,0,24773,9333,77198,10466,9377,2365,0,1233,62810,31694,3,274,1105,4238,31001,19796,8019,7115,12425,15073,1603,12258,20643,30014,10950,10527,16515,2921,3468,8527,2027,29494,6020,60689,19685,2074,20,33287,12650,5779,37686,3373,3136,14793,2528,21095,76530,3907,483,89,15671,10028,5445,11475,1572
5347,224,0,10147,4081,30069,5213,6416,1146,0,821,23071,11475,3,124,309,1544,19363,10217,4139,3273,2922,7918,438,6301,13206,14192,5779,5186,6184,1057,1772,3500,869,19854,2764,39650,7578,1360,2,15189,2775,1613,17892,1642,2095,5826,1585,7865,30585,1396,156,24,5393,3699,1594,5575,489
16630,980,0,24986,9358,77221,10528,9435,2373,0,1237,62813,31744,3,274,1105,4243,31093,19908,8019,7115,12434,15102,1623,12328,20763,30014,10978,10563,16722,2927,3486,8560,2032,29634,6045,60986,19706,2079,20,33442,12666,5814,37899,3393,3144,14803,2528,21141,76643,3922,483,90,15715,10026,5452,11527,1588
5573,225,0,10482,4121,30655,5242,6449,1157,0,825,23227,11662,3,124,309,1556,19497,10271,4222,3274,2944,7971,449,6367,13273,14296,5792,5284,6383,1067,1791,3546,878,20039,2794,39835,7638,1363,2,15337,2804,1667,18137,1645,2109,5860,1585,8011,30895,1422,158,24,5477,3789,1634,5633,522
16641,985,0,24992,9372,77355,10552,9442,2377,0,1240,62819,31801,3,274,1110,4260,31237,20035,8201,7117,12455,15116,1623,12415,20835,30412,11027,10589,16754,2933,3495,8583,2032,29737,6073,61195,19763,2086,20,33597,12697,5845,38103,3421,3151,14848,2534,21208,76790,3936,490,90,15750,10103,5481,11559,1588
5760,226,0,10673,4186,31187,5285,6536,1166,0,831,23396,11803,3,124,312,1564,19617,10334,4232,3375,2991,8022,453,6404,13359,14336,5842,5315,6411,1069,1803,3596,885,20161,2807,40005,7745,1364,2,15481,2848,1708,18484,1659,2120,5911,1604,8148,31277,1449,158,24,5552,3838,1671,5679,522
16641,985,0,25002,9390,77502,10582,9442,2380,0,1245,63081,31875,3,274,1114,4263,31379,20123,8201,7117,12484,15127,1626,12480,20872,30412,11079,10606,16774,2935,3527,8605,2051,29853,6109,61433,19850,2088,20,33787,12750,5870,38253,3446,3163,14880,2544,21383,76909,3943,490,91,15785,10143,5503,11591,1588
5945,228,0,10855,4228,31636,5316,6553,1178,0,842,23613,11975,3,124,318,1591,19724,10400,4251,3376,3042,8080,461,6449,13433,14511,5885,5356,6457,1077,1818,3658,897,20161,2836,40245,7825,1372,2,15599,2882,1737,18784,1679,2130,5934,1614,8232,31693,1460,162,24,5626,3876,1702,5728,522
16641,987,0,25068,9413,77652,10614,9556,2396,0,1255,63158,31928,3,274,1117,4270,31532,20226,8201,7163,12518,15137,1644,12551,20939,30709,11111,10625,16801,2945,3540,8626,2079,29959,6145,61654,19903,2091,20,33941,12775,5883,38426,3473,3175,14914,2559,21582,76919,3951,493,91,15803,10196,5516,11649,1588
6030,229,0,11040,4263,32225,5343,6594,1182,0,842,23799,12138,3,125,318,1603,19873,10465,4257,3517,3061,8080,477,6494,13509,14550,5918,5411,6492,1086,1837,3698,908,20320,2874,40449,7933,1395,2,15741,2925,1758,19009,1692,2146,6037,1629,8311,32086,1472,163,24,5656,3903,1733,5770,522
16641,987,0,25068,9430,77718,10616,9556,2424,0,1255,63158,31928,3,274,1123,4274,31532,20226,8201,7163,12518,15137,1658,12608,20939,30709,11111,10625,16823,2945,3540,8626,2079,30079,6145,61746,19903,2092,21,34091,12775,5883,38611,3493,3175,14914,2559,21600,77084,3951,497,91,15803,10196,5516,11649,1588
6119,229,0,11248,4293,32772,5363,6594,1188,0,847,24004,12291,3,125,320,1605,20020,10534,4321,3517,3093,8080,507,6541,13583,14669,5955,5481,6523,1088,1837,3761,927,20414,2910,40621,8016,1403,2,15862,2952,1799,19223,1703,2161,6108,1633,8355,32428,1485,163,24,5706,3903,1761,5905,522
16734,987,0,25171,9434,77769,10616,9556,2424,0,1255,63158,31928,3,274,1126,4274,31532,20226,8201,7163,12518,15137,1658,12666,20939,30709,11111,10625,16823,2945,3540,8626,2079,30089,6145,61812,19903,2092,21,34261,12775,5883,38619,3511,3175,14914,2559,21621,77218,3951,497,91,15803,10196,5516,11649,1588
6120,229,0,11266,4311,33097,5379,6594,1200,0,850,24137,12296,3,125,322,1607,20050,10602,4323,3518,3127,8203,511,6567,13652,14669,5995,5521,6526,1092,1837,3779,933,20439,2932,40809,8083,1406,2,15981,2987,1800,19336,1703,2169,6237,1656,8391,32600,1493,163,24,5729,3903,1776,5906,522
