nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_02988	8	1	0	0	6	10	31	2	6	50	19
NC101_02989	1	0	0	2	8	4	2	0	5	8	0
NC101_02990	0	2	0	2	8	4	20	0	8	29	26
NC101_02991	2	1	0	2	11	0	10	2	4	23	33
NC101_02992	2	0	0	0	7	0	24	4	6	29	37
NC101_02993	0	0	0	0	2	0	10	0	1	11	26
NC101_02994	1	0	0	0	7	0	32	2	2	47	48
NC101_02995	3	2	0	2	5	0	31	2	2	44	37
NC101_02996	4	2	0	0	3	2	4	2	0	19	4
NC101_02997	3	0	0	0	8	2	25	0	6	35	29
NC101_02998	2	2	0	1	8	4	38	8	8	35	44
NC101_02999	12	0	0	0	10	2	33	5	10	35	32
NC101_03000	2	0	0	5	5	7	20	7	14	19	22
NC101_03001	0	1	0	0	8	3	12	15	18	25	19
NC101_03002	2	1	2	2	18	5	28	5	21	15	49
NC101_03003	4	0	0	4	10	3	11	6	7	11	21
NC101_03004	4	6	0	4	27	10	31	15	26	25	37
NC101_03005	76	27	8	73	339	92	520	265	1135	888	129
NC101_03006	109	51	14	68	582	98	689	335	949	1031	133
NC101_03007	72	24	4	23	345	47	401	207	699	725	100
NC101_03008	63	23	14	41	328	72	398	268	650	645	115
NC101_03009	21	6	6	14	129	14	146	70	208	224	41
NC101_03010	52	19	17	21	238	61	307	229	494	516	92
NC101_03011	221	63	21	63	775	144	960	690	1691	1670	329
NC101_03012	147	49	22	72	475	100	580	414	936	848	316
NC101_03013	153	52	17	71	519	96	573	350	918	895	505
NC101_03014	88	31	8	45	356	46	362	228	630	571	190
NC101_03015	164	45	30	63	400	103	421	240	715	671	326
NC101_03016	66	21	9	28	266	24	351	202	562	666	413
NC101_03017	85	23	8	31	283	49	436	265	818	784	447
NC101_03018	0	0	0	0	0	0	0	0	2	0	0
NC101_03019	99	29	13	54	263	55	389	235	721	738	384
NC101_03020	223	71	22	60	734	94	846	541	2027	1865	384
NC101_03021	16	5	2	15	84	15	79	45	203	169	137
NC101_03022	94	71	19	120	305	130	677	353	1127	843	133
NC101_03023	41	18	5	19	128	41	140	112	303	245	32
NC101_03024	29	3	1	5	53	16	62	47	134	133	30
NC101_03025	33	6	1	4	43	25	37	43	80	91	14
NC101_03026	14	3	2	6	54	2	31	34	60	80	15
NC101_03027	52	11	13	16	104	33	128	92	179	177	47
NC101_03028	40	2	1	6	61	17	91	70	119	172	21
NC101_03029	44	7	4	2	67	38	115	81	190	201	31
NC101_03030	39	14	6	18	61	33	110	109	206	248	39
NC101_03031	109	44	8	68	71	104	66	38	80	76	50
NC101_03032	37	31	9	34	49	65	24	15	37	38	31
NC101_03033	265	112	46	230	392	417	176	163	498	411	121
NC101_03034	88	48	11	164	233	202	98	76	301	256	422
NC101_03035	31	14	4	15	115	27	717	154	605	529	86
NC101_03036	154	36	16	70	206	144	366	184	443	413	72
NC101_03037	12	0	0	20	39	21	14	14	38	41	13
NC101_03038	94	32	16	78	224	78	277	194	448	336	54
NC101_03039	47	14	2	24	129	37	147	76	240	156	72
NC101_03040	250	70	23	159	644	291	378	215	616	462	129
NC101_03041	2	3	0	1	33	5	18	11	30	41	97
NC101_03042	6	0	0	1	14	3	12	3	22	8	38
NC101_03043	9	5	2	0	20	9	15	7	39	33	76
NC101_03044	11	2	0	2	18	2	18	6	72	42	86
