nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_00003	329	29	40	97	423	141	469	342	884	713	52
NC101_00004	30	2	6	7	83	34	76	45	131	127	65
NC101_00005	145	53	23	122	271	128	102	57	134	112	13
NC101_00006	510	80	54	156	717	193	489	228	536	487	57
NC101_00007	5	3	0	13	25	1	9	2	30	9	11
NC101_00008	14	4	2	8	65	14	208	82	302	241	14
NC101_00009	625	65	115	192	432	506	299	210	546	419	50
NC101_00010	245	44	30	77	324	159	64	151	155	151	23
NC101_00011	247	43	37	78	319	222	99	222	127	125	63
NC101_00012	180	44	37	48	154	151	35	65	74	67	36
NC101_00013	37	38	6	35	178	43	197	31	193	422	581
NC101_00014	54	17	5	39	202	56	247	64	177	523	971
NC101_00015	94	29	17	87	201	154	74	71	200	150	449
NC101_00016	32	7	9	17	221	35	74	42	118	95	292
NC101_00017	77	20	9	35	273	54	97	56	165	117	314
NC101_00018	0	1	0	2	35	2	4	2	20	16	40
NC101_00019	3	0	0	0	24	5	0	4	22	8	50
NC101_00020	8	2	0	4	58	8	11	11	28	20	123
NC101_00021	11	2	2	7	37	10	12	8	28	36	28
NC101_00022	18	0	4	8	61	13	12	7	47	18	42
NC101_00023	0	0	0	2	9	2	2	2	2	2	7
NC101_00024	0	1	2	11	19	4	5	9	7	7	8
NC101_00025	0	2	0	0	23	1	1	3	6	1	16
NC101_00026	7	4	0	2	18	3	11	2	10	4	16
NC101_00027	4	3	1	1	25	8	7	13	16	7	20
NC101_00028	3	0	0	0	13	0	3	1	11	5	17
NC101_00029	4	2	0	5	21	13	18	7	17	21	28
NC101_00030	13	5	1	2	16	10	16	4	12	18	2
NC101_00031	200	74	16	126	350	121	566	263	880	746	55
NC101_00032	21	4	8	10	61	31	77	28	117	83	20
NC101_00033	304	181	58	191	419	228	485	329	733	832	54
NC101_00034	30	5	3	27	93	48	77	32	104	96	29
NC101_00035	31	21	8	19	59	42	25	24	47	58	77
NC101_00036	16	3	4	13	124	23	193	75	201	175	105
NC101_00037	15	7	6	14	147	26	151	80	177	154	79
NC101_00038	37	4	5	27	149	44	136	59	146	132	51
NC101_00039	16	4	2	7	67	20	37	35	69	58	78
NC101_00040	20	8	0	4	63	16	58	44	108	95	64
NC101_00041	134	31	15	75	701	204	904	518	1181	1250	314
NC101_00042	13	12	2	13	140	28	176	101	195	207	75
NC101_00043	45	22	6	20	223	59	383	175	491	465	166
NC101_00044	11	3	0	6	49	11	103	43	172	144	61
NC101_00045	3	0	0	2	5	0	2	0	4	2	175
NC101_00046	58	22	2	38	173	73	221	129	275	286	320
NC101_00047	37	8	4	23	153	35	197	122	270	245	633
NC101_00048	18	7	6	26	90	46	92	55	164	163	501
NC101_00049	38	17	3	40	111	60	107	90	266	197	512
NC101_00050	8	0	0	7	29	11	18	18	62	50	194
NC101_00051	55	27	3	51	284	70	741	411	873	996	1182
NC101_00052	49	13	0	34	175	32	257	134	361	303	482
NC101_00053	399	134	44	111	1224	175	629	391	953	786	569
NC101_00054	30	10	4	30	150	41	99	49	187	125	368
NC101_00055	1	3	2	3	17	7	18	1	26	15	148
NC101_00056	79	23	6	38	261	43	244	172	441	319	612
NC101_00057	131	39	10	52	168	109	114	94	221	193	166
NC101_00058	117	23	22	30	121	57	96	49	142	139	44
NC101_00059	25	10	4	4	32	13	424	136	468	436	86
NC101_00060	87	46	25	87	146	96	371	194	492	453	398
NC101_00061	48	18	3	37	169	41	139	78	553	289	265
NC101_00062	166	38	21	23	89	61	508	184	478	541	637
NC101_00063	41	19	1	30	196	43	282	145	312	359	1376
NC101_00064	22	6	0	15	128	35	149	61	193	135	291
NC101_00065	21	10	1	16	94	22	109	34	125	106	319
NC101_00066	20	2	1	12	62	33	79	19	95	58	237
NC101_00067	54	11	9	19	161	47	218	121	359	319	228
NC101_00068	25	12	5	23	148	45	209	160	332	296	257
NC101_00069	49	22	13	22	138	50	258	135	358	297	146
NC101_00070	21	10	6	39	76	34	33	22	65	73	76
NC101_00071	14	7	3	19	51	35	26	7	72	44	14
NC101_00072	428	185	78	229	572	187	430	193	1083	701	38
NC101_00073	2	5	0	12	32	4	93	38	83	89	70
NC101_00074	26	10	5	22	171	44	210	131	412	378	93
NC101_00075	82	37	8	88	218	106	152	134	397	356	72
NC101_00076	97	28	12	66	500	90	496	329	789	578	71
NC101_00077	364	98	38	96	683	140	1380	611	1517	1328	176
NC101_00078	278	72	19	105	919	150	1423	776	1869	1660	236
NC101_00079	2544	504	215	295	672	516	1633	835	1861	1723	77
NC101_00080	16	4	4	4	54	23	62	30	85	106	36
NC101_00081	163	29	17	71	288	106	217	107	426	255	36
NC101_00082	25	7	1	23	90	44	122	66	240	164	13
NC101_00083	17	3	4	27	142	43	102	60	154	70	37
NC101_00084	923	233	180	408	1953	674	2023	1510	4044	2782	236
NC101_00085	20	4	3	21	101	23	122	43	202	132	108
NC101_00086	6	6	2	6	72	6	35	19	47	39	49
NC101_00087	20	1	4	7	28	25	30	18	31	32	27
NC101_00088	599	141	50	145	877	429	248	315	485	374	39
NC101_00089	388	59	34	105	839	289	254	338	552	456	56
NC101_00090	817	121	82	285	1490	699	622	702	1010	776	87
NC101_00091	49	13	2	36	171	50	481	391	804	1131	92
NC101_00092	31	14	3	25	86	41	99	68	163	173	72
NC101_00093	182	76	42	138	604	164	991	368	818	856	113
NC101_00094	9	2	0	4	42	8	37	15	53	46	37
NC101_00095	12	9	0	8	99	26	106	54	133	107	54
NC101_00096	17	6	4	16	80	23	87	64	138	129	12
NC101_00097	114	41	13	67	317	112	119	70	384	158	60
NC101_00098	69	23	4	48	217	108	268	121	443	344	27
NC101_00099	30	8	2	11	102	25	285	155	356	347	70
NC101_00100	9	10	0	2	78	26	235	115	295	235	29
NC101_00101	292	65	42	64	119	98	216	126	375	372	51
NC101_00102	92	71	32	50	94	49	373	191	837	631	138
NC101_00103	32	7	2	21	165	32	328	98	450	389	39
NC101_00104	9	6	1	3	39	10	73	32	144	112	18
NC101_00105	3	0	0	0	27	6	5	0	5	1	241
NC101_00106	2	0	0	2	5	1	0	3	4	5	129
NC101_00107	280	98	34	300	704	352	186	136	670	451	321
NC101_00108	75	8	9	87	322	115	512	250	595	494	547
NC101_00109	51	10	1	22	38	54	59	29	131	74	96
NC101_00110	365	60	21	85	304	182	174	86	355	196	121
NC101_00111	45	9	6	10	52	17	36	23	62	47	350
NC101_00112	12	4	0	13	27	14	24	13	43	45	248
NC101_00113	12	8	4	7	38	15	27	17	88	39	90
NC101_00114	25	14	4	21	120	52	130	66	222	155	132
NC101_00115	13	8	4	10	46	10	78	45	148	104	332
NC101_00116	9	1	2	15	28	4	16	7	11	15	335
NC101_00117	206	113	41	222	448	254	160	155	532	450	274
NC101_00118	980	465	189	883	1288	727	547	458	1534	1157	246
NC101_00119	18	8	4	17	83	16	352	152	564	394	86
NC101_00120	48	16	3	35	104	29	88	90	208	179	32
NC101_00121	156	23	22	67	628	129	229	118	411	376	84
NC101_00122	1830	325	203	725	4946	1090	2101	1409	3606	3584	516
NC101_00123	356	135	92	359	187	329	699	418	1414	1054	219
NC101_00124	13	7	2	2	79	4	12	12	24	31	185
NC101_00125	2	0	1	9	60	0	26	11	21	15	137
NC101_00126	6	0	0	0	48	4	7	12	16	23	156
NC101_00127	0	4	0	2	46	6	7	3	17	13	73
NC101_00128	9	2	0	2	71	8	11	19	17	12	170
NC101_00129	11	6	0	2	57	17	20	14	18	27	110
NC101_00130	86	38	23	87	157	86	83	70	159	138	504
NC101_00131	12	3	1	4	25	26	31	17	32	33	496
NC101_00132	12	2	2	6	49	12	106	70	147	141	278
NC101_00133	54	20	0	17	89	44	146	63	231	163	431
NC101_00134	66	18	13	43	161	61	329	154	488	423	389
NC101_00135	74	30	2	40	85	91	202	133	383	358	65
NC101_00136	138	37	17	64	357	168	436	258	733	759	113
NC101_00137	55	22	7	43	259	61	545	296	616	629	238
NC101_00138	111	36	10	40	287	65	325	289	844	524	113
NC101_00139	14	4	1	4	24	14	22	10	23	34	6
NC101_00140	14	3	2	4	15	3	15	5	25	17	19
NC101_00141	9	14	4	6	53	16	34	19	71	61	19
NC101_00142	106	25	3	42	519	81	106	82	204	168	62
NC101_00143	10	6	0	3	38	10	9	15	29	18	22
NC101_00144	17	4	2	12	64	13	44	20	72	58	42
NC101_00145	23	10	0	6	103	17	46	25	93	69	40
NC101_00146	5	4	1	0	39	6	29	12	42	30	20
NC101_00147	11	3	4	3	59	14	24	13	58	51	4
NC101_00148	26	6	10	13	89	20	20	21	66	54	22
NC101_00149	30	8	0	24	56	38	32	16	65	36	15
NC101_00150	30	12	2	20	76	23	126	76	197	145	26
NC101_00151	11	2	8	3	9	5	45	17	125	110	13
NC101_00152	5	8	4	5	3	4	44	19	76	66	26
NC101_00153	4	0	4	4	3	8	30	19	52	64	26
NC101_00154	4	2	2	1	7	4	25	17	85	70	37
NC101_00155	2	2	0	7	13	10	18	14	97	59	29
NC101_00156	1095	323	276	92	213	154	771	412	1249	2050	65
NC101_00157	17	8	0	9	18	8	25	14	53	38	94
NC101_00158	31	26	5	21	68	54	150	95	190	228	177
NC101_00159	29	3	4	9	156	16	162	104	324	280	42
NC101_00160	626	253	74	469	1265	456	1198	382	1949	1788	754
NC101_00161	36	9	7	27	85	35	164	128	300	176	30
NC101_00162	30	12	6	6	62	22	54	28	147	70	6
NC101_00163	8	2	0	18	29	10	27	13	76	58	9
NC101_00164	4	7	2	2	30	5	35	18	65	42	23
NC101_00165	14	3	2	7	39	19	44	36	116	62	80
NC101_00166	25	14	3	14	36	14	42	12	79	31	24
NC101_00167	25	13	2	30	164	26	508	65	371	636	266
NC101_00168	10	5	0	7	79	23	88	35	126	110	30
NC101_00169	163	36	21	44	237	114	276	107	247	217	265
NC101_00170	12	4	2	6	35	17	30	19	60	71	96
NC101_00171	37	8	2	17	63	33	68	42	130	85	29
NC101_00172	106	33	10	73	152	94	152	100	299	196	40
NC101_00173	36	10	8	11	103	27	48	45	260	149	45
NC101_00174	179	40	27	78	283	119	97	63	238	220	98
NC101_00175	31	6	1	13	158	24	90	71	183	164	48
NC101_00176	4	1	0	7	20	1	19	21	39	25	17
NC101_00177	4	0	0	0	5	0	2	2	12	14	19
NC101_00178	965	285	152	522	2617	1034	3208	1999	4610	4541	685
NC101_00179	2337	917	307	591	2299	960	3788	2109	4663	4005	659
NC101_00180	1392	595	155	246	1089	414	1841	994	2167	2052	508
NC101_00181	1629	616	221	337	1295	549	1949	1174	2383	2040	383
NC101_00182	42	6	5	13	200	36	426	193	477	553	101
NC101_00183	718	250	115	348	1307	494	1641	888	2531	2202	502
NC101_00184	786	316	106	263	747	460	608	429	1248	1017	152
NC101_00185	21	3	0	11	121	19	128	63	196	157	33
NC101_00186	29	14	2	16	93	24	97	58	217	134	17
NC101_00187	9	0	0	13	90	12	58	35	140	144	47
NC101_00188	443	71	33	125	274	182	198	128	361	195	31
NC101_00189	12	3	0	23	131	34	54	38	118	172	38
NC101_00190	3	9	2	23	72	25	89	65	209	222	115
NC101_00191	4	1	2	10	9	6	37	17	71	81	22
NC101_00192	15	2	0	16	87	19	140	123	184	239	46
NC101_00193	58	14	10	22	93	40	123	99	348	201	24
NC101_00194	1422	262	203	354	896	588	3036	1965	5821	5310	187
NC101_00195	13	9	2	23	90	39	54	29	76	95	34
NC101_00196	0	0	0	0	24	0	0	0	1	6	2
NC101_00197	5	2	2	6	66	4	7	1	12	11	19
NC101_00198	2	6	0	0	110	12	9	5	23	4	19
NC101_00199	4	2	2	4	144	10	0	7	14	8	16
NC101_00200	4	1	0	7	6	1	0	2	9	7	4
NC101_00201	21	4	2	8	85	12	16	17	46	19	27
NC101_00202	7	0	0	4	106	10	10	5	17	18	22
NC101_00203	0	1	0	0	134	2	2	6	12	7	30
NC101_00204	30	2	3	14	152	35	83	42	110	77	29
NC101_00205	2	4	0	4	131	8	2	4	11	4	9
NC101_00206	0	2	0	3	108	2	5	2	3	12	24
NC101_00207	3	2	0	6	50	13	2	5	13	20	26
NC101_00208	13	2	2	3	80	9	9	7	14	27	16
NC101_00209	70	12	12	43	162	64	101	66	184	130	20
NC101_00210	170	43	15	52	264	110	577	391	716	725	104
NC101_00211	140	55	10	52	81	78	131	85	233	184	12
NC101_00212	12	6	2	12	68	7	67	37	66	96	74
NC101_00213	58	21	3	52	169	110	25	11	87	53	55
NC101_00214	150	56	12	189	608	300	85	49	213	224	209
NC101_00215	63	29	13	47	248	109	28	21	104	84	65
NC101_00216	98	28	14	92	445	211	55	41	180	165	209
NC101_00217	58	21	7	64	255	145	39	48	105	115	128
NC101_00218	14	2	2	34	85	60	10	21	54	59	100
NC101_00219	249	81	23	150	527	252	130	89	507	323	241
NC101_00220	8732	2686	2157	3561	7949	5135	4281	3346	7987	6122	1036
NC101_00221	327	164	32	304	1317	325	811	439	1009	958	208
NC101_00222	54	33	9	75	206	111	210	106	353	297	32
NC101_00223	131	32	19	126	774	203	424	469	603	614	163
NC101_00224	153	41	19	132	1174	279	703	813	1009	1356	320
NC101_00225	24	10	2	19	294	60	196	172	296	320	76
NC101_00226	27	7	4	21	222	54	139	129	230	256	71
NC101_00227	24	7	4	26	292	63	190	176	349	307	69
NC101_00228	33	9	2	31	259	75	140	110	271	286	94
NC101_00229	24	22	3	88	220	70	82	48	150	167	150
NC101_00230	47	7	6	50	88	50	100	59	198	143	42
NC101_00233	176	48	23	48	408	94	231	132	478	312	131
NC101_00234	70	33	6	33	117	46	164	86	211	162	125
NC101_00235	74	16	13	40	203	68	218	147	401	302	598
NC101_00236	294	145	44	299	1506	553	217	239	822	653	1367
NC101_00237	29	2	6	20	223	36	111	32	70	59	47
NC101_00238	32	12	8	21	53	25	86	32	92	99	52
NC101_00239	85	27	12	53	170	58	483	199	557	535	66
NC101_00240	46	27	15	37	57	44	106	58	160	113	12
NC101_00241	11	9	2	10	37	21	58	49	118	117	118
NC101_00242	2896	598	384	525	2183	1491	1185	745	2004	1650	437
NC101_00243	110	30	6	51	384	59	287	117	428	302	220
NC101_00244	176	65	15	116	399	160	672	352	1160	858	132
NC101_00245	13	4	0	3	69	16	184	85	168	183	237
NC101_00246	22	7	4	16	111	19	191	100	292	227	150
NC101_00247	31	16	13	8	79	32	132	73	142	209	222
NC101_00248	24	18	1	21	43	18	58	26	91	98	187
NC101_00249	27	12	5	18	39	34	19	16	68	29	43
NC101_00250	62	42	7	46	211	73	134	74	303	182	174
NC101_00251	66	18	8	50	110	56	243	41	244	298	86
NC101_00252	19	12	0	27	113	33	68	35	120	106	536
NC101_00253	8	4	2	5	17	13	6	11	43	34	229
NC101_00254	11	6	1	19	73	21	20	10	40	58	82
NC101_00255	345	126	39	146	503	295	496	334	1132	706	148
NC101_00256	375	123	61	148	739	261	399	268	869	599	140
NC101_00257	47	16	4	11	115	26	147	67	206	170	177
NC101_00258	16	15	3	16	53	15	83	40	68	95	58
NC101_00259	86	20	7	42	236	56	154	84	265	247	108
NC101_00260	132	59	14	48	491	85	536	307	903	760	169
NC101_00261	43	24	6	12	143	43	165	107	283	271	38
NC101_00262	204	45	27	65	136	119	107	56	293	197	20
NC101_00263	145	62	14	41	439	82	322	256	1731	1026	159
NC101_00264	6	2	0	3	10	6	23	11	24	25	100
NC101_00265	19	7	2	12	60	18	106	26	120	100	68
NC101_00266	3	4	2	2	38	16	67	30	77	66	65
NC101_00267	4	0	0	8	38	10	76	28	50	63	60
NC101_00268	52	12	6	13	82	31	214	66	207	240	98
NC101_00269	24	9	3	17	215	58	377	108	376	332	223
NC101_00270	4	3	4	5	39	7	100	30	159	88	47
NC101_00271	5	2	3	3	54	2	106	52	163	150	64
NC101_00272	46	35	3	25	335	87	248	111	388	271	109
NC101_00273	1	7	2	6	123	13	22	11	24	14	74
NC101_00274	32	12	8	28	102	36	165	59	186	172	78
NC101_00275	37	18	6	18	118	59	93	52	118	121	76
NC101_00276	23	5	5	23	95	32	85	59	135	135	34
NC101_00277	17	9	2	12	89	21	70	59	133	79	75
NC101_00278	24	11	0	5	49	27	79	56	179	138	59
NC101_00279	56	43	5	26	294	57	45	39	168	96	659
NC101_00280	51	43	10	67	216	92	246	147	487	318	401
NC101_00281	59	14	2	14	61	31	20	13	42	73	313
NC101_00282	22	10	0	5	17	14	6	11	18	24	195
NC101_00283	0	0	0	0	6	0	0	5	10	9	97
NC101_00284	2	0	0	0	5	0	0	0	9	3	11
NC101_00285	215	120	33	259	794	355	543	357	1586	1300	577
NC101_00286	80	14	2	24	255	38	284	139	419	339	67
NC101_00287	511	144	78	187	379	308	806	588	2275	1615	138
NC101_00288	266	82	52	103	53	167	177	180	661	492	65
NC101_00289	38	13	2	28	96	51	92	47	159	151	100
NC101_00290	25	12	6	24	72	27	65	59	175	114	44
NC101_00291	13	6	0	8	56	11	79	16	90	47	41
NC101_00292	20	5	2	33	69	47	161	80	277	168	28
NC101_00293	8	4	1	9	69	15	148	70	178	177	60
NC101_00294	18	2	0	11	47	17	286	96	287	217	92
NC101_00295	95	36	14	56	519	99	608	364	972	773	114
NC101_00296	462	55	17	76	647	159	479	261	731	584	126
NC101_00297	568	68	47	67	500	137	408	233	595	441	114
NC101_00298	53	17	4	55	82	68	188	147	259	267	83
NC101_00299	40	4	7	10	29	6	134	63	56	105	55
NC101_00300	19	4	1	18	38	18	31	16	23	53	20
NC101_00301	192	104	27	305	292	289	147	152	384	282	161
NC101_00302	22	11	2	11	83	23	17	10	28	35	77
NC101_00303	36	16	3	67	307	159	66	84	164	140	105
NC101_00304	5	4	2	3	17	16	24	12	39	31	30
NC101_00305	205	30	26	57	257	141	209	128	323	202	84
NC101_00306	378	69	25	160	473	241	300	141	393	315	64
NC101_00307	36	10	4	11	57	18	40	38	99	62	41
NC101_00308	22	10	2	15	154	41	142	62	205	153	38
NC101_00309	101	53	15	54	255	116	198	115	285	276	54
NC101_00310	75	9	9	11	137	39	66	35	112	101	25
NC101_00311	264	63	33	76	667	183	440	250	608	650	142
NC101_00312	269	78	41	129	689	330	473	447	712	995	224
NC101_00313	21	11	3	29	94	41	82	22	118	92	31
NC101_00314	11	11	0	11	71	24	52	29	80	88	19
NC101_00315	87	17	7	50	207	89	121	84	185	174	19
NC101_00316	90	44	3	51	226	67	185	108	257	296	29
NC101_00317	17	5	3	10	48	16	52	33	114	96	13
NC101_00318	34	14	5	35	50	10	22	13	33	49	38
NC101_00319	30	2	3	21	37	8	4	8	10	5	7
NC101_00320	3	0	0	0	1	0	0	0	1	0	2
NC101_00321	23	2	2	6	25	11	4	10	7	3	14
NC101_00322	50	7	2	27	70	25	41	16	51	42	47
NC101_00323	584	124	59	293	794	386	94	59	162	164	12
NC101_00324	42	18	10	25	338	81	297	199	462	488	89
NC101_00325	294	57	44	96	572	183	511	278	1077	628	43
NC101_00326	112	22	17	42	311	70	150	98	363	281	36
NC101_00327	14	11	3	5	36	14	211	78	169	183	28
NC101_00328	15	41	5	11	22	13	31	13	22	39	6
NC101_00329	7	10	0	11	49	18	44	39	149	112	15
NC101_00330	22	15	4	14	49	22	60	79	273	196	9
NC101_00331	0	0	1	2	10	2	2	8	20	16	5
NC101_00332	8	6	1	17	8	4	11	7	5	0	7
NC101_00333	10	0	6	15	8	10	9	1	5	2	40
NC101_00334	1	2	0	1	0	0	2	0	0	0	3
NC101_00335	10	0	2	20	2	7	7	6	1	0	63
NC101_00336	33	2	5	25	36	23	42	18	50	58	23
NC101_00337	42	16	6	6	39	10	13	31	121	165	2
NC101_00338	85	36	31	18	86	32	83	101	405	487	33
NC101_00339	55	26	19	21	49	46	50	61	333	397	8
NC101_00340	27	12	7	11	58	29	37	16	105	74	7
NC101_00341	32	16	4	24	95	43	138	57	189	165	47
NC101_00342	16	8	2	12	26	8	30	19	61	42	10
NC101_00343	40	6	14	8	52	20	37	28	126	94	18
NC101_00344	19	6	2	12	71	15	81	32	96	98	17
NC101_00345	4	3	0	3	15	12	17	11	37	30	0
NC101_00346	60	28	2	62	222	71	120	79	192	152	86
NC101_00347	322	167	39	131	195	98	106	221	319	355	163
NC101_00348	33	9	2	18	83	27	52	40	80	72	25
NC101_00349	21	4	0	7	57	30	24	7	62	69	3
NC101_00350	20	8	0	21	34	26	33	5	76	88	83
NC101_00351	26	11	0	15	65	29	48	32	127	100	136
NC101_00352	31	4	4	8	111	12	116	67	206	186	107
NC101_00353	20	0	2	16	90	15	59	50	138	129	40
NC101_00354	77	28	6	37	153	74	131	103	401	290	44
NC101_00355	3	0	0	0	6	4	10	3	1	6	10
NC101_00356	0	0	0	5	0	2	5	0	0	1	0
NC101_00357	5	0	0	1	8	0	4	1	3	2	16
NC101_00358	84	10	2	14	37	41	31	12	52	26	9
NC101_00359	2	0	0	0	9	0	2	0	6	3	48
NC101_00360	0	0	0	0	0	0	0	0	0	0	9
NC101_00361	0	1	0	2	2	3	2	1	0	4	19
NC101_00362	173	46	17	119	304	198	279	183	472	279	59
NC101_00363	88	24	9	31	165	65	198	107	214	175	24
NC101_00364	2	0	1	0	3	4	0	5	9	9	24
NC101_00365	1	0	0	2	0	0	2	1	0	1	9
NC101_00366	0	0	0	0	4	0	2	2	5	0	8
NC101_00367	2	1	0	0	1	2	3	0	4	2	6
NC101_00368	1	2	0	2	2	2	3	0	7	3	7
NC101_00369	9	2	0	8	18	6	12	8	26	23	25
NC101_00370	11	4	3	7	48	14	15	12	44	23	8
NC101_00371	5	1	2	3	5	12	1	4	13	3	11
NC101_00372	5	1	0	5	2	6	1	6	4	0	4
NC101_00373	0	1	0	0	2	4	15	2	7	13	8
NC101_00374	2	3	0	0	8	0	7	3	16	5	3
NC101_00375	4	6	0	4	9	0	5	3	3	7	37
NC101_00376	0	0	0	0	1	1	3	1	2	2	1
NC101_00377	0	0	0	0	0	2	0	0	0	0	7
NC101_00378	0	0	0	0	6	0	4	2	0	4	11
NC101_00379	13	8	4	12	31	7	21	11	45	65	41
NC101_00380	0	0	0	0	0	0	0	0	0	3	7
NC101_00381	0	2	0	0	0	0	0	0	3	17	11
NC101_00382	365	71	44	61	471	179	180	135	516	407	60
NC101_00383	4	4	0	4	21	2	18	23	59	44	42
NC101_00384	11	4	1	2	11	1	82	14	29	31	50
NC101_00385	20	5	2	23	29	22	116	39	47	62	80
NC101_00386	26	7	6	26	131	32	293	121	128	121	165
NC101_00387	103	17	19	880	8410	2128	20	50	630	295	500
NC101_00388	38	11	3	20	209	26	78	45	138	87	253
NC101_00389	23	18	2	19	201	34	79	67	165	204	875
NC101_00390	39	20	10	16	378	50	493	89	451	654	145
NC101_00391	15	5	4	6	9	2	279	12	27	408	248
NC101_00392	371	156	85	239	793	432	571	257	948	702	426
NC101_00393	238	61	34	82	789	196	501	293	1134	1035	256
NC101_00394	31	20	4	19	119	40	92	51	515	354	98
NC101_00395	0	0	0	0	0	0	0	0	1	0	11
NC101_00396	18	6	2	9	51	10	75	47	126	95	39
NC101_00397	26	11	4	11	35	14	51	16	93	74	24
NC101_00398	57	19	4	8	27	27	39	15	67	43	23
NC101_00399	15	2	1	0	14	4	27	10	18	18	13
NC101_00400	18	1	4	3	46	12	85	42	46	60	68
NC101_00401	10	2	0	6	22	7	39	17	27	29	6
NC101_00402	12	2	5	15	38	10	37	19	73	61	15
NC101_00403	10	9	3	12	83	14	21	14	165	83	71
NC101_00404	29	17	4	29	183	24	53	36	322	214	133
NC101_00405	11	9	1	3	76	16	12	17	142	64	100
NC101_00406	2	1	6	2	34	2	1	2	53	35	54
NC101_00407	8	3	2	9	18	5	9	9	46	33	76
NC101_00408	30	6	1	34	89	33	83	66	190	189	176
NC101_00409	123	24	11	90	196	174	188	132	366	281	169
NC101_00410	11	5	4	12	44	7	18	8	30	16	138
NC101_00411	1	0	0	2	2	2	3	0	3	0	77
NC101_00412	0	0	0	0	9	0	8	7	7	11	674
NC101_00413	2	6	2	3	6	4	10	6	26	14	214
NC101_00414	0	0	0	3	3	0	2	0	2	4	8
NC101_00415	0	0	0	0	0	2	2	0	4	0	42
NC101_00416	4	2	2	7	23	1	12	8	37	19	32
NC101_00417	7	0	0	3	39	10	16	8	28	35	91
NC101_00418	13	15	2	23	117	36	82	39	54	79	88
NC101_00419	146	83	21	230	370	264	427	227	527	449	102
NC101_00420	108	22	11	69	49	76	78	36	93	80	44
NC101_00421	8	2	1	0	12	12	2	9	5	5	12
NC101_00422	0	2	0	0	2	0	0	2	8	5	5
NC101_00423	1	2	0	0	24	10	6	8	28	14	2
NC101_00424	17	2	0	11	45	28	117	20	102	104	34
NC101_00425	34	13	8	25	27	34	473	265	1277	888	65
NC101_00426	13	5	4	4	32	23	111	64	186	161	147
NC101_00427	4	8	0	6	31	8	13	9	64	32	19
NC101_00428	19	4	0	9	52	32	48	30	77	53	28
NC101_00429	10	3	1	5	24	19	28	12	26	35	13
NC101_00430	226	48	15	132	304	183	153	107	288	199	8
NC101_00431	5	4	0	9	22	14	68	17	45	70	16
NC101_00432	52	7	13	33	151	39	54	36	215	108	47
NC101_00433	5	2	0	3	16	1	12	14	54	28	22
NC101_00434	14	3	0	2	33	13	18	12	81	28	24
NC101_00435	12	4	0	9	39	5	17	11	60	50	9
NC101_00436	40	21	14	24	101	44	65	36	204	99	23
NC101_00437	12	2	2	14	37	5	77	36	105	81	35
NC101_00438	19	5	2	3	14	9	64	6	34	31	5
NC101_00439	37	25	0	29	129	27	275	97	289	221	71
NC101_00440	20	2	0	16	62	19	56	27	61	46	42
NC101_00441	66	14	4	18	66	27	32	9	52	33	21
NC101_00442	111	55	32	86	218	66	141	67	249	124	22
NC101_00443	17	5	3	17	33	21	59	34	109	92	11
NC101_00444	32	22	4	14	77	34	62	40	133	130	18
NC101_00445	96	30	21	96	110	63	35	35	120	80	30
NC101_00446	63	18	9	61	212	82	204	253	496	346	25
NC101_00447	3663	1222	870	813	1349	1396	931	888	1697	1149	67
NC101_00448	97	16	10	43	226	84	548	200	433	395	56
NC101_00449	36	25	6	22	78	40	77	54	273	161	29
NC101_00450	33	23	10	39	47	66	258	158	524	453	60
NC101_00451	54	19	0	40	78	31	78	42	100	70	18
NC101_00452	128	27	14	35	71	98	46	30	68	30	5
NC101_00453	51	12	9	23	97	33	156	74	268	175	35
NC101_00454	139	46	19	81	429	98	114	59	251	164	34
NC101_00455	220	80	38	44	85	65	298	248	878	592	26
NC101_00456	33	10	7	10	47	16	100	50	131	117	9
NC101_00457	91	37	8	67	302	117	596	267	714	701	728
NC101_00458	32	12	4	17	79	26	55	42	80	89	17
NC101_00459	97	24	17	64	172	117	113	87	268	195	18
NC101_00460	339	121	37	184	486	307	483	287	658	532	274
NC101_00461	0	0	1	4	17	9	29	16	31	42	48
NC101_00462	1	0	1	2	7	7	7	10	21	6	17
NC101_00463	35	13	5	36	156	61	132	66	227	173	219
NC101_00464	216	89	28	91	473	137	121	67	240	223	304
NC101_00465	67	27	7	62	296	85	211	65	217	187	161
NC101_00466	79	21	5	37	430	95	215	111	278	211	97
NC101_00467	563	177	44	382	751	343	828	463	873	1062	1023
NC101_00468	17	2	2	12	30	15	20	7	42	33	172
NC101_00469	3890	1604	704	1419	1445	1966	535	418	1023	627	42
NC101_00470	23	3	0	25	82	36	193	60	230	169	32
NC101_00471	24	9	5	15	106	22	178	56	221	256	59
NC101_00472	8	3	0	2	32	12	13	2	36	26	3
NC101_00473	111	36	13	66	266	98	83	79	192	167	120
NC101_00474	59	19	7	51	198	84	62	77	299	201	98
NC101_00475	26	2	5	34	84	30	66	41	149	98	29
NC101_00476	0	1	0	0	3	0	0	0	0	0	12
NC101_00477	2	0	0	0	2	0	0	2	0	4	10
NC101_00478	6	8	1	1	17	11	23	20	42	45	85
NC101_00479	31	15	0	19	95	26	90	60	143	113	64
NC101_00480	56	29	14	51	250	108	565	283	756	708	507
